date,description,debit,credit,balance,transaction_id
2017-07-31,LOAN RECOVERY,10624.0,,32596.59,
2017-07-31,CWDR//315887/CSO9013,1800.0,,30796.59,
2017-08-01,MEDR/PAYTM APP/260147/,96.0,,30700.59,
2017-08-02,CWDR//928757/ID046101,7000.0,,23700.59,
2017-08-02,SMSChargesQtrAPR17-JUN17+GST@18,17.7,,23682.89,
2017-08-03,CWDR//223210/CS046112,7500.0,,16182.89,
2017-08-04,MEDR/RPSL /311794/,100.0,,16082.89,
2017-08-05,NACH/HDFC BANK LIMITED,11955.0,,4127.89,
2017-08-05,CWDR//721658/ID046101,1000.0,,3127.89,
2017-08-06,CWDR//342208/MSO9047,1000.0,,2127.89,
2017-08-09,NEFT-MSBTE PUNE,,500.0,2627.89,
2017-08-10,Int:01-05-2017/31-07-2017,,92.0,2719.89,
2017-08-11,MEDR/RPSL /780867/,100.0,,2619.89,
2017-08-11,CWDR//961423/CS046112,600.0,,2019.89,
2017-08-12,MEDR/RPSL /625528/,50.0,,1969.89,
2017-08-13,CWDR//165162/TPCN1257,700.0,,1269.89,
2017-08-14,CWDR//881905/NKOL6146,520.0,,749.89,
2017-08-15,MEDR/RPSL /393736/,50.0,,699.89,
2017-08-17,MEDR/RPSL /927334/,99.0,,600.89,
2017-08-19,CWDR//342216/MSO9047,500.0,,100.89,
2017-08-23,MEDR/RPSL /528342/,100.0,,0.89,
2017-08-30,NEFT-MSBTE,,375.0,375.89,
2017-08-30,NEFT-MSBTE,,800.0,1175.89,
2017-08-30,NEFT-MSBTE,,300.0,1475.89,
2017-08-31,CWDR//342203/MSO9047,400.0,,1075.89,
2017-08-31,MEDR/RPSL /516710/,50.0,,1025.89,
2017-08-31,CWDR//450359/CS046112,520.0,,505.89,
2017-09-03,MEDR/RPSL /127065/,100.0,,405.89,
2017-09-04,MEDR/RPSL /758515/,200.0,,205.89,
2017-09-04,salary,,42995.0,43200.89,
2017-09-04,Loan amt debit,10624.0,,32576.89,
2017-09-04,CWDR//342525/MSO9047,3500.0,,29076.89,
2017-09-05,CWDR//229893/TPCN1257,500.0,,28576.89,
2017-09-06,MEDR/RPSL /531022/,2110.0,,26466.89,
2017-09-06,BUPI/724909925612/06-09-2017 09:26:03/UPI,4000.0,,22466.89,
2017-09-06,NACH/HDFC BANK LIMITED,11955.0,,10511.89,
2017-09-06,MEDR/RPSL /134746/,60.0,,10451.89,
2017-09-07,CWDR//315869/CSO9013,2500.0,,7951.89,
2017-09-09,MEDR/RPSL /149239/,100.0,,7851.89,
2017-09-13,CWDR//774704/CS046112,2500.0,,5351.89,
2017-09-13,CWRR//774704/CS046112,,2500.0,7851.89,
2017-09-13,CWDR//915436/TPCN1257,2500.0,,5351.89,
2017-09-13,CWDR//181031/TPCN1257,4000.0,,1351.89,
2017-09-15,MEDR/RPSL /853680/,100.0,,1251.89,
2017-09-15,CWDR//342558/MSO9047,700.0,,551.89,
2017-09-16,CWDR//880858/NKOL6146,500.0,,51.89,
2017-09-21,MEDR/RPSL /99057/,50.0,,1.89,
2017-09-29,BIT SAL,,43002.0,43003.89,
2017-09-29,loan rec,10624.0,,32379.89,
2017-09-30,CWDR//342342/MSO9047,2500.0,,29879.89,
2017-10-04,CWDR//342233/MSO9047,3000.0,,26879.89,
2017-10-04,BUPI/727752803073/04-10-2017 13:27:04/UPI,50.0,,26829.89,
2017-10-05,NACH DR INW - HDFC BANK LIMITED /0099400705/AGL,11955.0,,14874.89,
2017-10-05,CWDR//843402/TPCN1257,7500.0,,7374.89,
2017-10-06,MEDR/RN DHAGE PET/346428/,301.5,,7073.39,
2017-10-07,BUPI/728044848900/07-10-2017 11:09:21/UPI,85.0,,6988.39,
2017-10-07,CWDR//259809/TPCN1257,500.0,,6488.39,
2017-10-07,CWDR//448349/TPCN1257,500.0,,5988.39,
2017-10-07,CWRR//259809/TPCN1257,,500.0,6488.39,
2017-10-08,BUPI/728132934815/08-10-2017 08:55:27/UPI,1000.0,,5488.39,
2017-10-08,BUPI/728134608834/08-10-2017 17:24:40/UPI,830.0,,4658.39,
2017-10-11,REV MERV//346428/R02/TIPS-SURG,2.67,,4655.72,
2017-10-11,BUPI/728416921779/11-10-2017 16:25:06/UPI,51.0,,4604.72,
2017-10-11,BUPI/728416922574/11-10-2017 16:26:54/UPI,,51.0,4655.72,
2017-10-12,BUPI/728515280096/12-10-2017 15:27:18/UPI,51.0,,4604.72,
2017-10-12,BUPI/728515281048/12-10-2017 15:29:50/UPI,,51.0,4655.72,
2017-10-12,MEDR/MIRA PETROLE/53178/,500.0,,4155.72,
2017-10-12,BUPI/728519367182/12-10-2017 19:17:18/UPI,51.0,,4104.72,
2017-10-15,BDIPG/JB5738620209/RPSL,399.0,,3705.72,
2017-10-15,MEDR/VARDHAMAN HO/843576/,650.0,,3055.72,
2017-10-15,MEDR/Priydarshni /352829/,650.0,,2405.72,
2017-10-16,CWDR//504106/TPCN1257,2000.0,,405.72,
2017-10-19,BUPI/729232752185/19-10-2017 16:45:05/UPI,300.0,,105.72,
2017-10-20,BUPI/729307567831/20-10-2017 07:57:13/UPI,51.0,,54.72,
2017-10-21,REV MERV//053178/R02/TIPS-SURG,4.43,,50.29,
