date,description,debit,credit,balance,transaction_id
2018-06-30,CASH DEPOSIT/SELF,,10000.0,10000.0,
2018-06-30,QUARTLY MIN AVG BAL,500.0,,9500.0,
2018-06-30,GST,90.0,,9410.0,
2018-07-12,CHQ BK ISSUE CHGS,800.0,,8610.0,
2018-07-12,GST,144.0,,8466.0,
2018-07-25,CHEQUE DEPOSIT/PAY & ACCOUNTS OFFICER MPKV DHULE REGION DHULE,,3000000.0,3008466.0,045327
2018-08-04,CHEQUE WDL/SHOBHABAI M SONAWANE,17370.0,,2991096.0,046451
2018-08-07,CASH CHEQUE/Paid to J M GAVIT,4500.0,,2986596.0,046455
2018-08-07,CHEQUE WDL/Mr. PRAKASH DANGAL WAGH,3862.0,,2982734.0,046453
2018-08-07,CAS SINGLE SIDED DEB/YOURSELF,5975.0,,2976759.0,046456
2018-08-13,TO CASH / CHEQUE/AGENT SBI,400.0,,2976359.0,046458
2018-08-13,TO CASH/ CHEQUE/AGENT SBI,355.0,,2976004.0,046452
2018-08-13,TO CASH/ CHEQUE/AGENT SBI,78.0,,2975926.0,046454
2018-08-14,TO CASH / CHEQUE/TANUSHREE ENTERPRISES,18300.0,,2957626.0,046457
2018-08-14,CHEQUE WDL/J M GAVIT,2510.0,,2955116.0,046463
2018-08-16,CAS SINGLE SIDED DEB/SHOBHABAI M SONAWANWE,40768.0,,2914348.0,046459
2018-08-18,TO CASH/ CHEQUE/AGENT SBI,138.0,,2914210.0,046462
2018-08-18,TO CASH/ CHEQUE/AGENT SBI,832.0,,2913378.0,046460
2018-08-20,CHEQUE WDL/PRAKASH DANGAL WAGH,6752.0,,2906626.0,046461
2018-09-19,BY TRANSFER/pay acct officer mpk,,484120.0,3390746.0,
2018-09-19,CHEQUE WDL,68504.0,,3322242.0,046465
2018-09-21,CHEQUE WDL/PRAKASH DANGAL WAGH,18032.0,,3304210.0,046464
2018-09-21,CHEQUE WDL/YOURSELF,500.0,,3303710.0,046469
2018-09-26,TO CASH/ CHEQUE/AGENT SBI,1760.0,,3301950.0,046466
2018-10-01,CHEQUE WDL/PAY & ACCOUNTS OFFICER MPKV DHULE,54229.0,,3247721.0,046467
2018-10-15,TO CASH/CHEQUE/CORRECTION TRF TO A/C,10800.0,,3236921.0,046468
2018-11-03,TO TRANSFER/CPSMS PPAC101824930302,20580.0,,3216341.0,
2018-11-03,TO TRANSFER/CPSMS PPAC101824931673,6272.0,,3210069.0,
2018-11-14,TO TRANSFER/CPSMS PPAC101825527657,29323.0,,3180746.0,
2018-12-10,TO TRANSFER/CPSMS PPAC121802174894,23520.0,,3157226.0,
2019-03-12,BY TRANSFER/NEFT Mr MAHESH SAMPATRAO SBIN319071973240,,3120.0,3160346.0,
2019-03-15,TO TRANSFER/CPSMS PPAC031910765980,31980.0,,3128366.0,
2019-03-15,TO TRANSFER/CPSMS PPAC031910775330,14880.0,,3113486.0,
