date,description,debit,credit,balance,transaction_id
2016-08-24,Mob alrt Chg Jul-16,28.75,,19034.1,
2016-08-26,INF/000019359266/HT 2 NGPR,,350000.0,369034.1,
2016-08-26,CASH PAID: SELF,350000.0,,19034.1,172
2016-08-26,INF/000019368145/ht 2 ngpr,,200000.0,219034.1,
2016-08-26,ATM/CASH WDL/26-08-16/0,25000.0,,194034.1,
2016-08-26,ATM/CASH WDL/26-08-16/0,25000.0,,169034.1,
2016-08-26,ATM/CASH WDL/26-08-16/0,25000.0,,144034.1,
2016-08-26,ATM/CASH WDL/26-08-16/0,25000.0,,119034.1,
2016-08-29,ATM/CASH WDL/27-08-16/0,20000.0,,99034.1,
2016-08-29,ATM/CASH WDL/27-08-16/0,20000.0,,79034.1,
2016-08-29,ATM/CASH WDL/27-08-16/0,20000.0,,59034.1,
2016-08-29,ATM/CASH WDL/27-08-16/0,20000.0,,39034.1,
2016-08-29,ATM/CASH WDL/27-08-16/0,20000.0,,19034.1,
2016-08-29,INF/000019386930/HT 2 NGPR,,400000.0,419034.1,
2016-08-29,INF/000019386778/HT 2 NGPR,,41000.0,460034.1,
2016-08-29,CASH PAID: SELF,450000.0,,10034.1,173
2016-08-30,INF/000019403508/HT 2 ngpr,,250000.0,260034.1,
2016-08-30,CASH PAID: SELF,200000.0,,60034.1,174
2016-08-31,INF/000019424135/HT 2 NGPR,,350000.0,410034.1,
2016-08-31,CASH PAID: SELF,400000.0,,10034.1,175
2016-09-03,INF/000019477863/HT 2 NGPR,,350000.0,360034.1,
2016-09-03,CASH PAID: SELF,350000.0,,10034.1,176
2016-09-06,INF/000019520660/ht 2 NGPR,,50000.0,60034.1,
2016-09-06,ATM/CASH WDL/06-09-16/0,20000.0,,40034.1,
2016-09-06,ATM/CASH WDL/06-09-16/0,20000.0,,20034.1,
2016-09-06,ATM/CASH WDL/06-09-16/0,10000.0,,10034.1,
2016-09-07,INF/000019530696/HT 2 NGPR,,350000.0,360034.1,
2016-09-07,CASH PAID: SELF,350000.0,,10034.1,177
2016-09-08,INF/000019550608/HT 2 NGPR,,600000.0,610034.1,
2016-09-08,CASH PAID: SELF,600000.0,,10034.1,178
