date,description,debit,credit,balance,transaction_id
2024-06-04,WDL TFR:IMPS 076521345678 gopal@hdfc:TRF TO 0093267012345,150.0,,2207.21,
2024-06-05,WDL TFR:UPI 987654321876 priyanka@icici:TRF TO 0093267013456,450.0,,1757.21,
2024-06-07,By Transfer:IMPS/IDFB01232/BEST CORPORATION PVT. LTD.,,6770.93,8528.14,
2024-06-10,By Transfer:UPI 036207274036 7273087674-2@ibl:TRF FR 0093267010004,,600.0,9128.14,
2024-06-15,WDL TFR:UPI 153775886006 dalgobind1212@ybl:TRF TO 0093268010003,1000.0,,8128.14,
2024-06-18,WDL TFR:IMPS 0984237456 mohit.kumar01@hdfc:TRF TO 0093268012345,1200.0,,6928.14,
2024-06-22,By Transfer: UPI 021345678901 arvind_sharma@ybl:TRF FR 0093267012346,,70.0,6998.14,
2024-06-27,WDL TFR:UPI 134902483920 raghu01@icici: TRF TO 0093267016789,50.0,,6948.14,
2024-07-02,By Transfer:IMPS 045678923456 ravi123@axis:TRF FR 0093267019876,,280.0,7228.14,
2024-07-06,WDL TFR:UPI 098732456321 pooja23@ybl:TRF TO 0093267012345,180.0,,7048.14,
2024-07-08,By Transfer:IMPS/IDFB01725/BEST CORPORATION PVT. LTD.,,8309.77,15357.91,
2024-07-14,WDL TFR:IMPS 459232768945 preetika07@hdfc:TRF TO 0093267012346,3370.0,,11987.91,
2024-07-17,By Transfer: UPI 342809567832 bobby_hb@ib:TRF FR 0093267007654,,153.76,12141.67,
2024-07-21,WDL TFR:UPI 567832109875 vipin123@icici:TRF TO 0093267013456,1500.0,,10641.67,
2024-07-25,WDL TFR:UPI 543876249189 vishal.singh@axis:TRF TO 0093267012345,490.54,,10151.13,
2024-07-29,WDL TFR:IMPS 076521345678 gopal@hdfc:TRF TO 0093267012345,670.0,,9481.13,
2024-08-02,WDL TFR:UPI 153775886006 dalgobind1212@ybl:TRF TO 0093268010003,200.0,,9281.13,
2024-08-07,By Transfer:IMPS/IDFB06532/BEST CORPORATION PVT. LTD.,,8002.0,17283.13,
2024-08-08,WDL TFR:UPI 153775886006 dalgobind1212@ybl:TRF TO 0093268010003,2700.0,,14583.13,
2024-08-10,By Transfer:UPI 036207274036 7273087674-2@ibl:TRF FR 0093267010004,,600.0,15183.13,
2024-08-14,WDL TFR:UPI 153775886006 dalgobind1212@ybl:TRF TO 0093268010003,1000.0,,14183.13,
2024-08-18,By Transfer:UPI 036207274036 7273087674-2@ibl:TRF FR 0093267010004,,470.0,14653.13,
2024-08-23,WDL TFR:UPI 675890234672 deepak.kumar@axis:TRF TO 0093267012346,350.0,,14303.13,
2024-08-28,WDL TFR:UPI 289573845682 amit_gupta@icici:TRF TO 0093267012345,175.0,,14128.13,
2024-09-03,WDL TFR:IMPS 675438392897 sakshi_sharma@hdfc:TRF TO 0093267012345,50.0,,14078.13,
2024-09-07,By Transfer:IMPS/IDFB01232/BEST CORPORATION PVT. LTD.,,8617.54,22695.67,
2024-09-09,By Transfer: UPI 036207274036 7273087674-2@ibl:TRF FR 0093267010004,,190.0,22885.67,
2024-09-12,WDL TFR:IMPS 943210578634 sonal.mishra@axis:TRF TO 0093267012346,3000.0,,19885.67,
2024-09-17,By Transfer:UPI 087642309745 shraddha24@ybl:TRF FR 0093267012345,,100.0,19985.67,
2024-09-25,WDL TFR:UPI 146732839154 manojkaran@icici:TRF TO 0093267017890,440.0,,19545.67,
