date,description,debit,credit,balance,transaction_id
2017-02-17,Transfer: Manager,,100000.0,100000.0,
2017-02-17,Transfer: Manager,,2000.0,102000.0,
2017-02-25,Unrecovered Min Bal Chr G 04-02-2017 Το 04-02-2017,115.0,,101885.0,
2017-03-15,Int.pd:21-12-2016 Το 28 -02-2017,,134.0,102019.0,
2017-05-18,Clg State Bank Of Trava Ncore/ekm-,,50000.0,152019.0,797922
2017-05-19,Transfer: Manager,,70000.0,222019.0,
2017-05-19,Manager,,35000.0,257019.0,
2017-06-15,Int.pd:01-03-2017 Το 31 -05-2017,,1255.0,258274.0,
2017-06-23,By Cash Br:ernakulam Ba Nerji Road Aaate2295h,,50000.0,308274.0,
2017-08-02,By Cash Br:ernakulam Ba Nerji Road Aaate2295h,,80000.0,388274.0,
2017-09-15,Int.pd:01-06-2017 Το 31 -08-2017,,3251.0,391525.0,
2017-12-15,Int.pd:01-09-2017 Το 30 -11-2017,,3905.0,395430.0,
2018-01-31,By Cash Br:ernakulam Ba Nerji Road Aaate2295h,,40000.0,435430.0,
2018-03-15,Int.pd: 01-12-2017 Το 28 -02-2018,,4027.0,439457.0,
2018-06-15,Int.pd:01-03-2018 Το 31 -05-2018,,4431.0,443888.0,
2018-07-09,Transfer: Indian Jeevak Arunya Charitable Trust,,15000.0,458888.0,
2018-09-15,Int.pd: 01-06-2018 Το 31 -08-2018,,4564.0,463452.0,
2018-12-04,Int.pd: 01-09-2018 Το 30 -11-2018,,4622.0,468074.0,
2019-03-04,Int.pd: 01-12-2018 Το 28 -02-2019,,4617.0,472691.0,
2019-03-27,Clg State Bank Of India /sbi-state,,10000.0,482691.0,234415
2019-03-30,Adc0000004357975/csbk00 00376/neft:st Alberts C,,91500.0,574191.0,
2019-03-30,Ollege Consultancy/ho - Rtgs Cell,,10000.0,584191.0,
2019-03-30,Clg State Bank Of India /sbi-state,,10000.0,594191.0,989157
2019-03-30,Clg State Bank Of India /sbi-state,,5000.0,599191.0,275881
2019-03-30,Clg State Bank Of India /sbi-state,,10000.0,609191.0,682074
2019-03-30,Clg State Bank Of India /sbi-state,,10000.0,619191.0,696480
2019-03-30,Clg State Bank Of India /sbi-state,,100000.0,719191.0,198181
2019-03-30,Transfer: Antony Vacko,,10000.0,729191.0,
2019-05-06,Clg State Bank Of India Arackal /sbi-state,,6499.0,735690.0,655813
2019-06-04,Int.pd:01-03-2019 Το 31-05-2019,,12000.0,747690.0,
2019-07-01,Transfer: Indian Jeevak Arunya Charitable Trust,,15000.0,762690.0,
2019-07-01,Transfer: Indian Jeevak Arunya Charitable Trust,,64000.0,826690.0,
2019-08-08,Ibntr/from A/c :st Alb Erts Coll (63055) Self,,7656.0,834346.0,
2019-09-04,Int.pd:01-06-2019 Το 31-08-2019,,7189.0,841535.0,
2019-12-04,Int.pd:01-09-2019 Το 30-11-2019,,300000.0,1141535.0,
2020-01-04,Fdrlh20004068861/fdr100 01238/federal Bank Ltd/ Neft:fourth Wave Founda Tion/ho Rtgs Cell,,100000.0,1241535.0,
2020-01-23,Clg State Bank Of India /sbi-state,,8680.0,1250215.0,797019
2020-03-04,Int.pd: 01-12-2019 Το 29-02-2020,1240000.0,,10215.0,
2020-03-31,Transfer: To Deposit,,3384.0,13599.0,1
2020-06-04,Int.pd:01-03-2020 Το 31-05-2020,,3384.0,13599.0,
2020-06-24,Clg State Bank Of India,,70000.0,83599.0,994325
2020-06-26,Sms Chrg From 01-01-202 Ο Το 22-06-2020,2.0,,83597.0,
2020-09-04,Int.pd: 01-06-2020 Το 31 -08-2020,,392.0,83989.0,
2020-12-04,Int.pd: 01-09-2020 Το 30 -11-2020,,492.0,84481.0,
2021-03-04,Int.pd: 01-12-2020 Το 28 -02-2021,,490.0,84971.0,
2021-06-04,Int.pd:01-03-2021 Το 31 -05-2021,,503.0,85474.0,
2021-09-04,Int.pd:01-06-2021 Το 31 -08-2021,,506.0,85980.0,
2021-12-04,Int.pd:01-09-2021 Το 30 -11-2021,,504.0,86484.0,
